username,balance,email,phone
alice,496,alice@example.com,123-456-7890
bob,504,bob@example.com,234-567-8901
charlie,500,charlie@example.com,345-678-9012
david,500,david@example.com,456-789-0123
eve,500,eve@example.com,567-890-1234
frank,500,frank@example.com,678-901-2345
grace,500,grace@example.com,789-012-3456
henry,500,henry@example.com,890-123-4567
ivy,500,ivy@example.com,901-234-5678
jack,500,jack@example.com,012-345-6789
type,seq,client,message,sender,decision,round,timestamp
request,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1726850562255
pre-prepare,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1726850562297
prepare,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1726850562338
prepare,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1726850562345
prepare,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1726850562352
prepare,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1726850562386
commit,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1726850562463
commit,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1726850562485
commit,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1726850562477
commit,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1726850562471
Reply,1726850562222,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,1,1,1726850562554
